Rk,Player,Season,Age,Tm,Lg,TRB,AST,STL,BLK,TOV,PTS,TSP
1,Michael Jordan,1995-96,32,CHI,NBA,6.6,4.3,2.2,0.5,2.4,30.4,.582
2,Michael Jordan,1990-91,27,CHI,NBA,6.0,5.5,2.7,1.0,2.5,31.5,.605
3,LeBron James,2012-13,28,MIA,NBA,8.0,7.3,1.7,0.9,3.0,26.8,.640
4,Kevin Durant,2013-14,25,OKC,NBA,7.4,5.5,1.3,0.7,3.5,32.0,.635
5,Shaquille O'Neal,1999-00,27,LAL,NBA,13.6,3.8,0.5,3.0,2.8,29.7,.578
6,Kevin Garnett,2003-04,27,MIN,NBA,13.9,5.0,1.5,2.2,2.6,24.2,.547
7,David Robinson,1995-96,30,SAS,NBA,12.2,3.0,1.4,3.3,2.3,25.0,.589
8,Stephen Curry,2015-16,27,GSW,NBA,5.4,6.7,2.1,0.2,3.3,30.1,.669
9,Tim Duncan,2001-02,25,SAS,NBA,12.7,3.7,0.7,2.5,3.2,25.5,.576
10,Chris Paul,2007-08,22,NOH,NBA,4.0,11.6,2.7,0.1,2.5,21.1,.576
11,Dirk Nowitzki,2005-06,27,DAL,NBA,9.0,2.8,0.7,1.0,1.9,26.6,.589
12,Shaquille O'Neal,1993-94,21,ORL,NBA,13.2,2.4,0.9,2.9,2.7,29.3,.605
13,Karl Malone,1996-97,33,UTA,NBA,9.9,4.5,1.4,0.6,2.8,27.4,.600
14,James Harden,2014-15,25,HOU,NBA,5.7,7.0,1.9,0.7,4.0,27.4,.605
15,LeBron James,2005-06,21,CLE,NBA,7.0,6.6,1.6,0.8,3.3,31.4,.568
16,Tracy McGrady,2002-03,23,ORL,NBA,6.5,5.5,1.7,0.8,2.6,32.1,.564
17,Chris Paul,2014-15,29,LAC,NBA,4.6,10.2,1.9,0.2,2.3,19.1,.596
18,Michael Jordan,1997-98,34,CHI,NBA,5.8,3.5,1.7,0.5,2.3,28.7,.533
19,Hakeem Olajuwon,1992-93,30,HOU,NBA,13.0,3.5,1.8,4.2,3.2,26.1,.577
20,Chauncey Billups,2005-06,29,DET,NBA,3.1,8.6,0.9,0.1,2.1,18.5,.602
21,Karl Malone,1990-91,27,UTA,NBA,11.8,3.3,1.1,1.0,3.0,29.0,.596
22,Magic Johnson,1990-91,31,LAL,NBA,7.0,12.5,1.3,0.2,4.0,19.4,.623
23,Kobe Bryant,2002-03,24,LAL,NBA,6.9,5.9,2.2,0.8,3.5,30.0,.550
24,Elton Brand,2005-06,26,LAC,NBA,10.0,2.6,1.0,2.5,2.2,24.7,.580
25,Pau Gasol,2010-11,30,LAL,NBA,10.2,3.3,0.6,1.6,1.7,18.8,.589
26,Dwyane Wade,2008-09,27,MIA,NBA,5.0,7.5,2.2,1.3,3.4,30.2,.574
27,Grant Hill,1996-97,24,DET,NBA,9.0,7.3,1.8,0.6,3.2,21.4,.556
28,Shawn Marion,2005-06,27,PHO,NBA,11.8,1.8,2.0,1.7,1.5,21.8,.591
29,Amar'e Stoudemire,2004-05,22,PHO,NBA,8.9,1.6,1.0,1.6,2.4,26.0,.617
30,Giannis Antetokounmpo,2018-19,24,MIL,NBA,12.5,5.9,1.3,1.5,3.7,27.7,.644
31,Charles Barkley,1992-93,29,PHO,NBA,12.2,5.1,1.6,1.0,3.1,25.6,.596
32,Anfernee Hardaway,1995-96,24,ORL,NBA,4.3,7.1,2.0,0.5,2.8,21.7,.605
33,Dwight Howard,2010-11,25,ORL,NBA,14.1,1.4,1.4,2.4,3.6,22.9,.616
34,Kevin Love,2013-14,25,MIN,NBA,12.5,4.4,0.8,0.5,2.5,26.1,.591
35,Anthony Davis,2014-15,21,NOP,NBA,10.2,2.2,1.5,2.9,1.4,24.4,.591
36,LeBron James,2017-18,33,CLE,NBA,8.6,9.1,1.4,0.9,4.2,27.5,.621
37,John Stockton,1990-91,28,UTA,NBA,2.9,14.2,2.9,0.2,3.6,17.2,.604
38,Karl-Anthony Towns,2017-18,22,MIN,NBA,12.3,2.4,0.8,1.4,1.9,21.3,.646
39,Russell Westbrook,2015-16,27,OKC,NBA,7.8,10.4,2.0,0.3,4.3,23.5,.554
40,Gary Payton,1999-00,31,SEA,NBA,6.5,8.9,1.9,0.2,2.7,24.2,.535
41,Kobe Bryant,2007-08,29,LAL,NBA,6.3,5.4,1.8,0.5,3.1,28.3,.576
42,Jimmy Butler,2016-17,27,CHI,NBA,6.2,5.5,1.9,0.4,2.1,23.9,.586
43,Ray Allen,2000-01,25,MIL,NBA,5.2,4.6,1.5,0.2,2.5,22.0,.610
44,Kawhi Leonard,2015-16,24,SAS,NBA,6.8,2.6,1.8,1.0,1.5,21.2,.616
45,Gilbert Arenas,2005-06,24,WAS,NBA,3.5,6.1,2.0,0.3,3.7,29.3,.581
46,John Stockton,1996-97,34,UTA,NBA,2.8,10.5,2.0,0.2,3.0,14.4,.656
47,Brandon Roy,2008-09,24,POR,NBA,4.7,5.1,1.1,0.3,1.9,22.6,.573
48,Larry Bird,1985-86,29,BOS,NBA,10.5,6.6,1.6,1.2,3.1,28.7,.585